"Netz-Code";"Netzname";"Pad-Anzahl";"Via-Anzahl";"Via-Länge";"Leiterbahnlänge";"Die-Länge";"Netzlänge";
047;"/Memory/SD1_DAT1";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
048;"Net-(D3-Pad2)";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
052;"Net-(D4-Pad2)";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
056;"Net-(D9-Pad1)";3;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
057;"Net-(D10-Pad1)";3;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
065;"Net-(D11-Pad2)";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
084;"/Memory/NAND_DAT2";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
088;"LED6";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
091;"Net-(J4-Pad2)";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
092;"DP5-";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
093;"DP5+";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
094;"DP6-";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
095;"DP6+";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
096;"/Memory/NAND_DAT1";2;1;1,5194 mm;1,1145 mm;0,0000 mm;2,6339 mm;
103;"/Sound/RIGHT";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
104;"/Sound/LEFT";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
105;"/Memory/NAND_CMD";2;1;1,5194 mm;1,1021 mm;0,0000 mm;2,6215 mm;
106;"/Network/ENET1_MDC";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
107;"Net-(R37-Pad2)";3;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
108;"/Network/ENET1_MDIO";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
109;"Net-(R39-Pad2)";3;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
111;"/Memory/NAND_DAT3";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
112;"/Memory/NAND_DAT0";2;1;1,5194 mm;1,1145 mm;0,0000 mm;2,6339 mm;
113;"/Memory/NAND_CLK";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
114;"/Network/ENET1_RXER";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
119;"/Network/ENET1_TXD1";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
120;"/Network/ENET1_TXD0";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
121;"/Network/ENET1_REFCLK";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
122;"/Network/ENET1_RXD1";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
123;"/Network/ENET1_TXCLK";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
124;"/Network/ENET1_TXEN";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
125;"/Network/ENET1_RXD0";2;0;0,0000 mm;0,0000 mm;0,0000 mm;0,0000 mm;
126;"/Memory/MMDC_A14";3;4;6,0776 mm;45,0033 mm;0,0000 mm;51,0809 mm;
127;"/Memory/MMDC_A6";3;4;6,0776 mm;46,9948 mm;0,0000 mm;53,0724 mm;
128;"/Memory/MMDC_~{RST}";3;3;4,5582 mm;32,0407 mm;0,0000 mm;36,5989 mm;
133;"/Memory/MMDC_BA1";3;4;6,0776 mm;49,5204 mm;0,0000 mm;55,5980 mm;
134;"/Memory/MMDC_A1";3;4;6,0776 mm;50,1320 mm;0,0000 mm;56,2096 mm;
135;"/Memory/MMDC_A13";3;5;7,5970 mm;52,6494 mm;0,0000 mm;60,2464 mm;
136;"/Memory/MMDC_A7";3;5;7,5970 mm;57,7445 mm;0,0000 mm;65,3415 mm;
137;"/Memory/MMDC_~{CS1}";2;4;6,0776 mm;44,3309 mm;0,0000 mm;50,4085 mm;
140;"/Memory/MMDC_~{WE}";3;4;6,0776 mm;64,3434 mm;0,0000 mm;70,4210 mm;
141;"/Memory/MMDC_~{CAS}";3;5;7,5970 mm;63,4319 mm;0,0000 mm;71,0289 mm;
142;"/Memory/MMDC_CKE1";2;3;4,5582 mm;45,2523 mm;0,0000 mm;49,8105 mm;
143;"/Memory/MMDC_A8";3;5;7,5970 mm;54,9060 mm;0,0000 mm;62,5030 mm;
147;"/Memory/MMDC_A2";3;5;7,5970 mm;53,4252 mm;0,0000 mm;61,0222 mm;
148;"/Memory/MMDC_BA2";3;5;7,5970 mm;43,5367 mm;0,0000 mm;51,1337 mm;
149;"/Memory/MMDC_A11";3;4;6,0776 mm;41,5483 mm;0,0000 mm;47,6259 mm;
150;"/Memory/MMDC_A4";3;5;7,5970 mm;52,6498 mm;0,0000 mm;60,2468 mm;
151;"/Memory/MMDC_A15";1;2;3,0388 mm;34,8144 mm;0,0000 mm;37,8532 mm;
156;"/Memory/MMDC_A5";3;4;6,0776 mm;55,1513 mm;0,0000 mm;61,2289 mm;
157;"/Memory/MMDC_A9";3;4;6,0776 mm;49,8020 mm;0,0000 mm;55,8796 mm;
158;"/Memory/MMDC_A12";3;5;7,5970 mm;55,7249 mm;0,0000 mm;63,3219 mm;
159;"/Memory/MMDC_A0";3;5;7,5970 mm;69,4227 mm;0,0000 mm;77,0197 mm;
